school_name_url,district_name_url,District_Name,school_short
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/adamscheshire.xml#schools'>Cheshire Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/adamscheshire.xml'>Adams-Cheshire Regional</a>,Adams-Cheshire Regional,"Cheshire Elementary, adamscheshire"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/adamscheshire.xml#schools'>Plunkett Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/adamscheshire.xml'>Adams-Cheshire Regional</a>,Adams-Cheshire Regional,"Plunkett Elementary, adamscheshire"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/adamscheshire.xml#schools'>Hoosac Valley Middle & High School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/adamscheshire.xml'>Adams-Cheshire Regional</a>,Adams-Cheshire Regional,"Hoosac Valley Middle & High School, adamscheshire"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/advancedmathandscienceacademycharter.xml#schools'>Advanced Math and Science Academy Charter School</a>,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/advancedmathandscienceacademycharter.xml'>Advanced Math and Science Academy Charter, Marlborough</a>","Advanced Math and Science Academy Charter, Marlborough","Advanced Math and Science Academy Charter School, advancedmathandscienceacademycharter"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/agawam.xml#schools'>Clifford M Granger</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/agawam.xml'>Agawam Public Schools</a>,Agawam Public Schools,"Clifford M Granger, agawam"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/agawam.xml#schools'>Benjamin J Phelps</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/agawam.xml'>Agawam Public Schools</a>,Agawam Public Schools,"Benjamin J Phelps, agawam"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/agawam.xml#schools'>Robinson Park</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/agawam.xml'>Agawam Public Schools</a>,Agawam Public Schools,"Robinson Park, agawam"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/agawam.xml#schools'>James Clark School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/agawam.xml'>Agawam Public Schools</a>,Agawam Public Schools,"James Clark School, agawam"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/agawam.xml#schools'>Roberta G. Doering School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/agawam.xml'>Agawam Public Schools</a>,Agawam Public Schools,"Roberta G. Doering School, agawam"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/agawam.xml#schools'>Agawam Junior High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/agawam.xml'>Agawam Public Schools</a>,Agawam Public Schools,"Agawam Junior High, agawam"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/agawam.xml#schools'>Agawam High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/agawam.xml'>Agawam Public Schools</a>,Agawam Public Schools,"Agawam High, agawam"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/almadelmarcharterschool.xml#schools'>Alma del Mar Charter School</a>,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/almadelmarcharterschool.xml'>Alma del Mar Charter, New Bedford</a>","Alma del Mar Charter, New Bedford","Alma del Mar Charter School, almadelmarcharterschool"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amesbury.xml#schools'>Amesbury Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amesbury.xml'>Amesbury Public Schools</a>,Amesbury Public Schools,"Amesbury Elementary, amesbury"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amesbury.xml#schools'>Charles C Cashman Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amesbury.xml'>Amesbury Public Schools</a>,Amesbury Public Schools,"Charles C Cashman Elementary, amesbury"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amesbury.xml#schools'>Amesbury Middle</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amesbury.xml'>Amesbury Public Schools</a>,Amesbury Public Schools,"Amesbury Middle, amesbury"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amesbury.xml#schools'>Amesbury High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amesbury.xml'>Amesbury Public Schools</a>,Amesbury Public Schools,"Amesbury High, amesbury"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amesburyacademycharter.xml#schools'>Amesbury Academy Charter Public School</a>,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amesburyacademycharter.xml'>Amesbury Academy Charter, Amesbury</a>","Amesbury Academy Charter, Amesbury","Amesbury Academy Charter Public School, amesburyacademycharter"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amherst.xml#schools'>Crocker Farm Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amherst.xml'>Amherst Public Schools</a>,Amherst Public Schools,"Crocker Farm Elementary, amherst"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amherst.xml#schools'>Fort River Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amherst.xml'>Amherst Public Schools</a>,Amherst Public Schools,"Fort River Elementary, amherst"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amherst.xml#schools'>Wildwood Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amherst.xml'>Amherst Public Schools</a>,Amherst Public Schools,"Wildwood Elementary, amherst"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amherstpelham.xml#schools'>Amherst Regional Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amherstpelham.xml'>Amherst-Pelham Regional</a>,Amherst-Pelham Regional,"Amherst Regional Middle School, amherstpelham"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amherstpelham.xml#schools'>Amherst Regional High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/amherstpelham.xml'>Amherst-Pelham Regional</a>,Amherst-Pelham Regional,"Amherst Regional High, amherstpelham"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml#schools'>Bancroft Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml'>Andover Public Schools</a>,Andover Public Schools,"Bancroft Elementary, andover"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml#schools'>High Plain Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml'>Andover Public Schools</a>,Andover Public Schools,"High Plain Elementary, andover"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml#schools'>Henry C Sanborn Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml'>Andover Public Schools</a>,Andover Public Schools,"Henry C Sanborn Elementary, andover"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml#schools'>South Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml'>Andover Public Schools</a>,Andover Public Schools,"South Elementary, andover"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml#schools'>West Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml'>Andover Public Schools</a>,Andover Public Schools,"West Elementary, andover"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml#schools'>Doherty Middle</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml'>Andover Public Schools</a>,Andover Public Schools,"Doherty Middle, andover"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml#schools'>Andover West Middle</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml'>Andover Public Schools</a>,Andover Public Schools,"Andover West Middle, andover"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml#schools'>Wood Hill Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml'>Andover Public Schools</a>,Andover Public Schools,"Wood Hill Middle School, andover"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml#schools'>Andover High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml'>Andover Public Schools</a>,Andover Public Schools,"Andover High, andover"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/arlington.xml#schools'>John A Bishop</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/arlington.xml'>Arlington Public Schools</a>,Arlington Public Schools,"John A Bishop, arlington"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/arlington.xml#schools'>Brackett</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/arlington.xml'>Arlington Public Schools</a>,Arlington Public Schools,"Brackett, arlington"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/arlington.xml#schools'>Cyrus E Dallin</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/arlington.xml'>Arlington Public Schools</a>,Arlington Public Schools,"Cyrus E Dallin, arlington"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/arlington.xml#schools'>Hardy</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/arlington.xml'>Arlington Public Schools</a>,Arlington Public Schools,"Hardy, arlington"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/arlington.xml#schools'>Peirce</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/arlington.xml'>Arlington Public Schools</a>,Arlington Public Schools,"Peirce, arlington"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/arlington.xml#schools'>Thompson</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/arlington.xml'>Arlington Public Schools</a>,Arlington Public Schools,"Thompson, arlington"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/arlington.xml#schools'>M Norcross Stratton</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/arlington.xml'>Arlington Public Schools</a>,Arlington Public Schools,"M Norcross Stratton, arlington"
