school_name_url,district_name_url,District_Name,school_short
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/clinton.xml#schools'>Clinton Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/clinton.xml'>Clinton Public Schools</a>,Clinton Public Schools,"Clinton Elementary, clinton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/clinton.xml#schools'>Clinton Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/clinton.xml'>Clinton Public Schools</a>,Clinton Public Schools,"Clinton Middle School, clinton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/clinton.xml#schools'>Clinton Senior High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/clinton.xml'>Clinton Public Schools</a>,Clinton Public Schools,"Clinton Senior High, clinton"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/codmanacademycharter.xml#schools'>Codman Academy Charter Public School</a>,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/codmanacademycharter.xml'>Codman Academy Charter, Dorchester</a>","Codman Academy Charter, Dorchester","Codman Academy Charter Public School, codmanacademycharter"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/cohasset.xml#schools'>Deer Hill</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/cohasset.xml'>Cohasset Public Schools</a>,Cohasset Public Schools,"Deer Hill, cohasset"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/cohasset.xml#schools'>Cohasset Middle/High School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/cohasset.xml'>Cohasset Public Schools</a>,Cohasset Public Schools,"Cohasset Middle/High School, cohasset"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/communitycharterschoolofcambridge.xml#schools'>Community Charter School of Cambridge</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/communitycharterschoolofcambridge.xml'>Community Charter School of Cambridge</a>,Community Charter School of Cambridge,"Community Charter School of Cambridge, communitycharterschoolofcambridge"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/communitydaycharterschoolprospect.xml#schools'>Community Day Charter Public School - Prospect</a>,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/communitydaycharterschoolprospect.xml'>Community Day Charter - Prospect, Lawrence</a>","Community Day Charter - Prospect, Lawrence","Community Day Charter Public School - Prospect, communitydaycharterschoolprospect"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/concord.xml#schools'>Alcott</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/concord.xml'>Concord Public Schools</a>,Concord Public Schools,"Alcott, concord"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/concord.xml#schools'>Thoreau</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/concord.xml'>Concord Public Schools</a>,Concord Public Schools,"Thoreau, concord"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/concord.xml#schools'>Willard</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/concord.xml'>Concord Public Schools</a>,Concord Public Schools,"Willard, concord"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/concord.xml#schools'>Concord Middle</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/concord.xml'>Concord Public Schools</a>,Concord Public Schools,"Concord Middle, concord"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/concordcarlisle.xml#schools'>Concord Carlisle High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/concordcarlisle.xml'>Concord-Carlisle Regional</a>,Concord-Carlisle Regional,"Concord Carlisle High, concordcarlisle"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/conservatorylabcharter.xml#schools'>Conservatory Lab Charter School</a>,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/conservatorylabcharter.xml'>Conservatory Lab Charter, Brighton</a>","Conservatory Lab Charter, Brighton","Conservatory Lab Charter School, conservatorylabcharter"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/conway.xml#schools'>Conway Grammar</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/conway.xml'>Conway Public Schools</a>,Conway Public Schools,"Conway Grammar, conway"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/danvers.xml#schools'>Highlands</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/danvers.xml'>Danvers Public Schools</a>,Danvers Public Schools,"Highlands, danvers"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/danvers.xml#schools'>Great Oak</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/danvers.xml'>Danvers Public Schools</a>,Danvers Public Schools,"Great Oak, danvers"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/danvers.xml#schools'>Riverside</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/danvers.xml'>Danvers Public Schools</a>,Danvers Public Schools,"Riverside, danvers"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/danvers.xml#schools'>Ivan G Smith</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/danvers.xml'>Danvers Public Schools</a>,Danvers Public Schools,"Ivan G Smith, danvers"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/danvers.xml#schools'>Willis E Thorpe</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/danvers.xml'>Danvers Public Schools</a>,Danvers Public Schools,"Willis E Thorpe, danvers"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/danvers.xml#schools'>Holten Richmond Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/danvers.xml'>Danvers Public Schools</a>,Danvers Public Schools,"Holten Richmond Middle School, danvers"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/danvers.xml#schools'>Danvers High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/danvers.xml'>Danvers Public Schools</a>,Danvers Public Schools,"Danvers High, danvers"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dartmouth.xml#schools'>Joseph Demello</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dartmouth.xml'>Dartmouth Public Schools</a>,Dartmouth Public Schools,"Joseph Demello, dartmouth"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dartmouth.xml#schools'>George H Potter</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dartmouth.xml'>Dartmouth Public Schools</a>,Dartmouth Public Schools,"George H Potter, dartmouth"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dartmouth.xml#schools'>James M. Quinn School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dartmouth.xml'>Dartmouth Public Schools</a>,Dartmouth Public Schools,"James M. Quinn School, dartmouth"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dartmouth.xml#schools'>Dartmouth Middle</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dartmouth.xml'>Dartmouth Public Schools</a>,Dartmouth Public Schools,"Dartmouth Middle, dartmouth"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dartmouth.xml#schools'>Dartmouth High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dartmouth.xml'>Dartmouth Public Schools</a>,Dartmouth Public Schools,"Dartmouth High, dartmouth"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dedham.xml#schools'>Avery</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dedham.xml'>Dedham Public Schools</a>,Dedham Public Schools,"Avery, dedham"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dedham.xml#schools'>Greenlodge</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dedham.xml'>Dedham Public Schools</a>,Dedham Public Schools,"Greenlodge, dedham"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dedham.xml#schools'>Oakdale</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dedham.xml'>Dedham Public Schools</a>,Dedham Public Schools,"Oakdale, dedham"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dedham.xml#schools'>Riverdale</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dedham.xml'>Dedham Public Schools</a>,Dedham Public Schools,"Riverdale, dedham"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dedham.xml#schools'>Dedham Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dedham.xml'>Dedham Public Schools</a>,Dedham Public Schools,"Dedham Middle School, dedham"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dedham.xml#schools'>Dedham High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dedham.xml'>Dedham Public Schools</a>,Dedham Public Schools,"Dedham High, dedham"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/deerfield.xml#schools'>Deerfield Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/deerfield.xml'>Deerfield Public Schools</a>,Deerfield Public Schools,"Deerfield Elementary, deerfield"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dennisyarmouth.xml#schools'>Ezra H Baker Innovation School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dennisyarmouth.xml'>Dennis-Yarmouth Regional</a>,Dennis-Yarmouth Regional,"Ezra H Baker Innovation School, dennisyarmouth"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dennisyarmouth.xml#schools'>Marguerite E Small Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dennisyarmouth.xml'>Dennis-Yarmouth Regional</a>,Dennis-Yarmouth Regional,"Marguerite E Small Elementary, dennisyarmouth"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dennisyarmouth.xml#schools'>Station Avenue Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dennisyarmouth.xml'>Dennis-Yarmouth Regional</a>,Dennis-Yarmouth Regional,"Station Avenue Elementary, dennisyarmouth"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dennisyarmouth.xml#schools'>N H Wixon Innovation School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dennisyarmouth.xml'>Dennis-Yarmouth Regional</a>,Dennis-Yarmouth Regional,"N H Wixon Innovation School, dennisyarmouth"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dennisyarmouth.xml#schools'>Mattacheese Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dennisyarmouth.xml'>Dennis-Yarmouth Regional</a>,Dennis-Yarmouth Regional,"Mattacheese Middle School, dennisyarmouth"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dennisyarmouth.xml#schools'>Dennis-Yarmouth Regional High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dennisyarmouth.xml'>Dennis-Yarmouth Regional</a>,Dennis-Yarmouth Regional,"Dennis-Yarmouth Regional High, dennisyarmouth"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dightonrehoboth.xml#schools'>Dighton Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dightonrehoboth.xml'>Dighton-Rehoboth Regional</a>,Dighton-Rehoboth Regional,"Dighton Elementary, dightonrehoboth"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dightonrehoboth.xml#schools'>Palmer River</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dightonrehoboth.xml'>Dighton-Rehoboth Regional</a>,Dighton-Rehoboth Regional,"Palmer River, dightonrehoboth"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dightonrehoboth.xml#schools'>Dighton Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dightonrehoboth.xml'>Dighton-Rehoboth Regional</a>,Dighton-Rehoboth Regional,"Dighton Middle School, dightonrehoboth"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dightonrehoboth.xml#schools'>Dorothy L Beckwith</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dightonrehoboth.xml'>Dighton-Rehoboth Regional</a>,Dighton-Rehoboth Regional,"Dorothy L Beckwith, dightonrehoboth"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dightonrehoboth.xml#schools'>Dighton-Rehoboth Regional High School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dightonrehoboth.xml'>Dighton-Rehoboth Regional</a>,Dighton-Rehoboth Regional,"Dighton-Rehoboth Regional High School, dightonrehoboth"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dorchestercollegiateacademycharter.xml#schools'>Dorchester Collegiate Academy Charter</a>,"<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dorchestercollegiateacademycharter.xml'>Dorchester Collegiate Academy Charter, Dorchester</a>","Dorchester Collegiate Academy Charter, Dorchester","Dorchester Collegiate Academy Charter, dorchestercollegiateacademycharter"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/douglas.xml#schools'>Douglas Primary School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/douglas.xml'>Douglas Public Schools</a>,Douglas Public Schools,"Douglas Primary School, douglas"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/douglas.xml#schools'>Douglas Elementary School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/douglas.xml'>Douglas Public Schools</a>,Douglas Public Schools,"Douglas Elementary School, douglas"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/douglas.xml#schools'>Douglas Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/douglas.xml'>Douglas Public Schools</a>,Douglas Public Schools,"Douglas Middle School, douglas"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/douglas.xml#schools'>Douglas High School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/douglas.xml'>Douglas Public Schools</a>,Douglas Public Schools,"Douglas High School, douglas"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dover.xml#schools'>Chickering</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dover.xml'>Dover Public Schools</a>,Dover Public Schools,"Chickering, dover"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/doversherborn.xml#schools'>Dover-Sherborn Regional Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/doversherborn.xml'>Dover-Sherborn Regional</a>,Dover-Sherborn Regional,"Dover-Sherborn Regional Middle School, doversherborn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/doversherborn.xml#schools'>Dover-Sherborn Regional High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/doversherborn.xml'>Dover-Sherborn Regional</a>,Dover-Sherborn Regional,"Dover-Sherborn Regional High, doversherborn"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dracut.xml#schools'>Joseph A Campbell Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dracut.xml'>Dracut Public Schools</a>,Dracut Public Schools,"Joseph A Campbell Elementary, dracut"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dracut.xml#schools'>Greenmont Avenue</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dracut.xml'>Dracut Public Schools</a>,Dracut Public Schools,"Greenmont Avenue, dracut"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dracut.xml#schools'>Brookside Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dracut.xml'>Dracut Public Schools</a>,Dracut Public Schools,"Brookside Elementary, dracut"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dracut.xml#schools'>George H. Englesby Intermediate</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dracut.xml'>Dracut Public Schools</a>,Dracut Public Schools,"George H. Englesby Intermediate, dracut"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dracut.xml#schools'>Lakeview Junior High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dracut.xml'>Dracut Public Schools</a>,Dracut Public Schools,"Lakeview Junior High, dracut"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dracut.xml#schools'>Dracut Senior High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dracut.xml'>Dracut Public Schools</a>,Dracut Public Schools,"Dracut Senior High, dracut"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dudleycharltonreg.xml#schools'>Dudley Elementary</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dudleycharltonreg.xml'>Dudley-Charlton Regional</a>,Dudley-Charlton Regional,"Dudley Elementary, dudleycharltonreg"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dudleycharltonreg.xml#schools'>Heritage School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dudleycharltonreg.xml'>Dudley-Charlton Regional</a>,Dudley-Charlton Regional,"Heritage School, dudleycharltonreg"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dudleycharltonreg.xml#schools'>Dudley Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dudleycharltonreg.xml'>Dudley-Charlton Regional</a>,Dudley-Charlton Regional,"Dudley Middle School, dudleycharltonreg"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dudleycharltonreg.xml#schools'>Charlton Middle School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dudleycharltonreg.xml'>Dudley-Charlton Regional</a>,Dudley-Charlton Regional,"Charlton Middle School, dudleycharltonreg"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dudleycharltonreg.xml#schools'>Shepherd Hill Regional High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dudleycharltonreg.xml'>Dudley-Charlton Regional</a>,Dudley-Charlton Regional,"Shepherd Hill Regional High, dudleycharltonreg"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/duxbury.xml#schools'>Alden School</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/duxbury.xml'>Duxbury Public Schools</a>,Duxbury Public Schools,"Alden School, duxbury"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/duxbury.xml#schools'>Duxbury Middle</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/duxbury.xml'>Duxbury Public Schools</a>,Duxbury Public Schools,"Duxbury Middle, duxbury"
<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/duxbury.xml#schools'>Duxbury High</a>,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/duxbury.xml'>Duxbury Public Schools</a>,Duxbury Public Schools,"Duxbury High, duxbury"
